datetime	price	price_change	price_gram_24k	price_gram_22k	price_gram_21k	price_gram_20k	price_gram_18k	price_gram_16k	price_gram_14k	price_gram_10k
2025-12-10 00:00:00	4235.82	0.00	136.1847	124.8360	119.1616	113.4872	102.1385	90.7898	79.4411	56.7436
2025-12-10 01:00:00	4234.15	-1.67	136.1310	124.7867	119.1146	113.4425	102.0982	90.7540	79.4097	56.7212
2025-12-10 02:00:00	4232.48	-1.67	136.0773	124.7375	119.0676	113.3977	102.0580	90.7182	79.3784	56.6989
2025-12-10 03:00:00	4230.81	-1.67	136.0236	124.6883	119.0206	113.3530	102.0177	90.6824	79.3471	56.6765
2025-12-10 04:00:00	4229.14	-1.67	135.9699	124.6391	118.9737	113.3083	101.9774	90.6466	79.3158	56.6541
2025-12-10 05:00:00	4231.47	2.33	136.0448	124.7077	119.0392	113.3707	102.0336	90.6965	79.3595	56.6853
2025-12-10 06:00:00	4233.80	2.33	136.1197	124.7764	119.1048	113.4331	102.0898	90.7465	79.4032	56.7166
2025-12-10 07:00:00	4236.13	2.33	136.1946	124.8451	119.1703	113.4955	102.1460	90.7964	79.4469	56.7478
2025-12-10 08:00:00	4240.25	4.12	136.3271	124.9665	119.2862	113.6059	102.2453	90.8847	79.5241	56.8030
2025-12-10 09:00:00	4242.58	2.33	136.4020	125.0352	119.3518	113.6683	102.3015	90.9347	79.5678	56.8342
2025-12-10 10:00:00	4244.91	2.33	136.4769	125.1038	119.4173	113.7308	102.3577	90.9846	79.6115	56.8654
2025-12-10 11:00:00	4247.24	2.33	136.5518	125.1725	119.4829	113.7932	102.4139	91.0346	79.6552	56.8966
2025-12-10 12:00:00	4249.57	2.33	136.6267	125.2412	119.5484	113.8556	102.4701	91.0845	79.6989	56.9278
2025-12-10 13:00:00	4251.90	2.33	136.7017	125.3099	119.6140	113.9180	102.5262	91.1344	79.7426	56.9590
2025-12-10 14:00:00	4254.23	2.33	136.7766	125.3785	119.6795	113.9805	102.5824	91.1844	79.7863	56.9902
2025-12-10 15:00:00	4256.56	2.33	136.8515	125.4472	119.7450	114.0429	102.6386	91.2343	79.8300	57.0214
2025-12-10 16:00:00	4258.89	2.33	136.9264	125.5159	119.8106	114.1053	102.6948	91.2843	79.8737	57.0527
2025-12-10 17:00:00	4261.22	2.33	137.0013	125.5845	119.8761	114.1678	102.7510	91.3342	79.9174	57.0839
2025-12-10 18:00:00	4258.55	-2.67	136.9155	125.5058	119.8010	114.0962	102.6866	91.2770	79.8674	57.0481
2025-12-10 19:00:00	4255.88	-2.67	136.8296	125.4271	119.7259	114.0247	102.6222	91.2197	79.8173	57.0123
2025-12-10 20:00:00	4253.21	-2.67	136.7438	125.3485	119.6508	113.9531	102.5578	91.1625	79.7672	56.9766
2025-12-10 21:00:00	4250.54	-2.67	136.6579	125.2698	119.5757	113.8816	102.4934	91.1053	79.7171	56.9408
2025-12-10 22:00:00	4247.87	-2.67	136.5721	125.1911	119.5006	113.8101	102.4291	91.0481	79.6671	56.9050
2025-12-10 23:00:00	4245.20	-2.67	136.4862	125.1124	119.4255	113.7385	102.3647	90.9908	79.6170	56.8693
2025-12-11 00:00:00	4242.53	-2.67	136.4004	125.0337	119.3504	113.6670	102.3003	90.9336	79.5669	56.8335
2025-12-11 01:00:00	4239.86	-2.67	136.3146	124.9550	119.2752	113.5955	102.2359	90.8764	79.5168	56.7977
2025-12-11 02:00:00	4237.19	-2.67	136.2287	124.8763	119.2001	113.5239	102.1715	90.8191	79.4668	56.7620
2025-12-11 03:00:00	4234.52	-2.67	136.1429	124.7976	119.1250	113.4524	102.1072	90.7619	79.4167	56.7262
2025-12-11 04:00:00	4231.85	-2.67	136.0570	124.7189	119.0499	113.3809	102.0428	90.7047	79.3666	56.6904
2025-12-11 05:00:00	4234.18	2.33	136.1319	124.7876	119.1155	113.4433	102.0990	90.7546	79.4103	56.7216
2025-12-11 06:00:00	4236.51	2.33	136.2069	124.8563	119.1810	113.5057	102.1551	90.8046	79.4540	56.7529
2025-12-11 07:00:00	4238.84	2.33	136.2818	124.9250	119.2465	113.5681	102.2113	90.8545	79.4977	56.7841
2025-12-11 08:00:00	4241.17	2.33	136.3567	124.9936	119.3121	113.6306	102.2675	90.9045	79.5414	56.8153
2025-12-11 09:00:00	4243.50	2.33	136.4316	125.0623	119.3776	113.6930	102.3237	90.9544	79.5851	56.8465
2025-12-11 10:00:00	4245.83	2.33	136.5065	125.1310	119.4432	113.7554	102.3799	91.0043	79.6288	56.8777
2025-12-11 11:00:00	4248.16	2.33	136.5814	125.1996	119.5087	113.8178	102.4361	91.0543	79.6725	56.9089
2025-12-11 12:00:00	4250.49	2.33	136.6563	125.2683	119.5743	113.8803	102.4922	91.1042	79.7162	56.9401
2025-12-11 13:00:00	4252.82	2.33	136.7312	125.3370	119.6398	113.9427	102.5484	91.1542	79.7599	56.9713
2025-12-11 14:00:00	4255.15	2.33	136.8061	125.4056	119.7054	114.0051	102.6046	91.2041	79.8036	57.0026
2025-12-11 15:00:00	4257.48	2.33	136.8811	125.4743	119.7709	114.0675	102.6608	91.2540	79.8473	57.0338
2025-12-11 16:00:00	4259.81	2.33	136.9560	125.5430	119.8365	114.1300	102.7170	91.3040	79.8910	57.0650
2025-12-11 17:00:00	4262.14	2.33	137.0309	125.6116	119.9020	114.1924	102.7732	91.3539	79.9347	57.0962
2025-12-11 18:00:00	4259.47	-2.67	136.9450	125.5330	119.8269	114.1209	102.7088	91.2967	79.8846	57.0604
2025-12-11 19:00:00	4256.80	-2.67	136.8592	125.4543	119.7518	114.0493	102.6444	91.2395	79.8345	57.0247
2025-12-11 20:00:00	4254.13	-2.67	136.7734	125.3756	119.6767	113.9778	102.5800	91.1822	79.7845	56.9889
2025-12-11 21:00:00	4251.46	-2.67	136.6875	125.2969	119.6016	113.9063	102.5156	91.1250	79.7344	56.9531
